Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC_Online Payment Bulletin,Chrome 67.0.3396.99,,2018-07-06 14:20:58,2018-07-06 14:22:39,1m - 41.379s,ERROR
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin01,Chrome 67.0.3396.99,,2018-07-06 14:20:58,2018-07-06 14:21:15,16.492s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:20:58,2018-07-06 14:21:05,6.869s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:21:05,2018-07-06 14:21:09,3.793s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:21:09,2018-07-06 14:21:09,0.265s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-06 14:21:09,2018-07-06 14:21:11,1.500s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_ID)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u300C\u8A02\u55AE\u865F\u300D,2018-07-06 14:21:11,2018-07-06 14:21:11,0.051s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:11,2018-07-06 14:21:11,0.109s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:21:11,2018-07-06 14:21:11,0.066s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:11,2018-07-06 14:21:13,2.002s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u8A02\u55AE\u865F,2018-07-06 14:21:13,2018-07-06 14:21:13,0.207s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:13,2018-07-06 14:21:13,0.140s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:21:13,2018-07-06 14:21:13,0.069s,PASSED
Statement - getPaymentId = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Detail_Page/text_PaymentID)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u8A02\u55AE\u865F\u300D,2018-07-06 14:21:13,2018-07-06 14:21:14,0.626s,PASSED
"Statement - afterText = CustomKeywords.extension.DataConversion.GetStringSpilt(getPaymentId, ""¡G"", 0)",Chrome 67.0.3396.99,\u8F49\u63DB\u53EA\u53D6\u5192\u865F\u5F8C\u7684\u6587\u5B57,2018-07-06 14:21:14,2018-07-06 14:21:14,0.008s,PASSED
verifyEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u8A02\u55AE\u865F\u662F\u5426\u76F8\u540C,2018-07-06 14:21:14,2018-07-06 14:21:14,0.007s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:14,2018-07-06 14:21:15,0.645s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin02,Chrome 67.0.3396.99,,2018-07-06 14:21:15,2018-07-06 14:21:28,13.599s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:15,2018-07-06 14:21:19,4.180s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:21:19,2018-07-06 14:21:23,3.614s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:21:23,2018-07-06 14:21:23,0.245s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_Member)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u6703\u54E1\u5E33\u865F,2018-07-06 14:21:23,2018-07-06 14:21:25,1.670s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:25,2018-07-06 14:21:25,0.137s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:21:25,2018-07-06 14:21:25,0.053s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:25,2018-07-06 14:21:27,2.002s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u6703\u54E1\u5E33\u865F,2018-07-06 14:21:27,2018-07-06 14:21:27,0.205s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:27,2018-07-06 14:21:27,0.149s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:21:27,2018-07-06 14:21:27,0.053s,PASSED
Statement - afterText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ThirdPartyPayment/Detail_Page/text_PaymentMember)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u6703\u54E1\u5E33\u865F\u300D,2018-07-06 14:21:27,2018-07-06 14:21:28,0.555s,PASSED
verifyEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u6703\u54E1\u5E33\u865F\u662F\u5426\u76F8\u540C,2018-07-06 14:21:28,2018-07-06 14:21:28,0.001s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:28,2018-07-06 14:21:28,0.649s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin03,Chrome 67.0.3396.99,,2018-07-06 14:21:28,2018-07-06 14:21:50,21.196s,ERROR
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:28,2018-07-06 14:21:33,4.439s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:21:33,2018-07-06 14:21:37,3.679s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:21:37,2018-07-06 14:21:37,0.248s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:37,2018-07-06 14:21:37,0.640s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:21:37,2018-07-06 14:21:37,0.046s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:37,2018-07-06 14:21:39,2.001s,PASSED
click,Chrome 67.0.3396.99,\u9EDE\u64CA\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:21:39,2018-07-06 14:21:40,0.109s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:40,2018-07-06 14:21:42,2.003s,PASSED
click,Chrome 67.0.3396.99,\u9EDE\u64CA\u6E05\u9664\u6240\u6709\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:21:42,2018-07-06 14:21:42,0.134s,PASSED
click,Chrome 67.0.3396.99,\u9EDE\u64CA\u9078\u64C7abby-use\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:21:42,2018-07-06 14:21:42,0.126s,PASSED
Statement - beforetext = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Search_Page/Choose_MembersLevel/checkbox_MmeberLevel(abby-use))),Chrome 67.0.3396.99,\u53D6\u5F97\u6240\u9078\u7684\u6703\u54E1\u7B49\u7D1A\u6587\u5B57,2018-07-06 14:21:42,2018-07-06 14:21:42,0.046s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:42,2018-07-06 14:21:44,2.002s,PASSED
click,Chrome 67.0.3396.99,\u95DC\u9589\u9078\u53D6\u6703\u54E1\u7B49\u7D1A,2018-07-06 14:21:44,2018-07-06 14:21:44,0.141s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:44,2018-07-06 14:21:46,2.001s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:46,2018-07-06 14:21:46,0.096s,PASSED
click,Chrome 67.0.3396.99,,2018-07-06 14:21:46,2018-07-06 14:21:46,0.110s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:46,2018-07-06 14:21:48,2.002s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:21:48,2018-07-06 14:21:48,0.066s,PASSED
Statement - aftertext = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_MemberLevel)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u6703\u54E1\u7B49\u7D1A\u300D,2018-07-06 14:21:48,2018-07-06 14:21:49,0.554s,PASSED
verifyEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u6703\u54E1\u7B49\u7D1A\u662F\u5426\u76F8\u540C,2018-07-06 14:21:49,2018-07-06 14:21:49,0.002s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:49,2018-07-06 14:21:50,0.646s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin04,Chrome 67.0.3396.99,,2018-07-06 14:21:50,2018-07-06 14:22:02,12.252s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:21:50,2018-07-06 14:21:54,4.446s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:21:54,2018-07-06 14:21:58,3.608s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:21:58,2018-07-06 14:21:58,0.266s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:21:58,2018-07-06 14:21:59,0.616s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:21:59,2018-07-06 14:21:59,0.048s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:21:59,2018-07-06 14:22:01,2.002s,PASSED
Statement - LastMonthNumberOne = CustomKeywords.extension.UIMethod.setLastDayMonth(),Chrome 67.0.3396.99,\u9078\u53D6\u4E0A\u500B\u67081\u865F,2018-07-06 14:22:01,2018-07-06 14:22:01,0.025s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u4E0A\u500B\u67081\u865F,2018-07-06 14:22:01,2018-07-06 14:22:01,0.323s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:22:01,2018-07-06 14:22:01,0.129s,PASSED
Statement - beforeText = CustomKeywords.extension.DataConversion.yearmonthdate(LastMonthNumberOne),Chrome 67.0.3396.99,\u8F49\u63DB\u4E0A\u500B\u67081\u865F\u70BA\u6578\u503C,2018-07-06 14:22:01,2018-07-06 14:22:01,0.001s,PASSED
Statement - after = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_StatusUpdateDate)),Chrome 67.0.3396.99,,2018-07-06 14:22:01,2018-07-06 14:22:01,0.059s,PASSED
"Statement - afterDate = CustomKeywords.extension.DataConversion.GetStringSpilt(after, "" "", 1)",Chrome 67.0.3396.99,,2018-07-06 14:22:01,2018-07-06 14:22:01,0.000s,PASSED
Statement - afterText = CustomKeywords.extension.DataConversion.yearmonthdate(afterDate),Chrome 67.0.3396.99,\u8F49\u63DB\u4E0A\u500B\u67081\u865F\u70BA\u6578\u503C,2018-07-06 14:22:01,2018-07-06 14:22:01,0.000s,PASSED
verifyGreaterThanOrEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u7B2C\u4E00\u7B46\u8CC7\u6599\u7684\u7533\u8ACB\u65E5\u671F\u662F\u5426\u5927\u65BC\u9078\u64C7\u7684\u4E0A\u500B\u67081\u865F,2018-07-06 14:22:01,2018-07-06 14:22:01,0.005s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:22:01,2018-07-06 14:22:02,0.633s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin05,Chrome 67.0.3396.99,,2018-07-06 14:22:02,2018-07-06 14:22:17,15.573s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:22:02,2018-07-06 14:22:07,5.217s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:22:07,2018-07-06 14:22:11,3.649s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:22:11,2018-07-06 14:22:11,0.239s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:22:11,2018-07-06 14:22:12,0.614s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB,2018-07-06 14:22:12,2018-07-06 14:22:12,0.057s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:22:12,2018-07-06 14:22:14,2.000s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u8D77\u59CB\u91D1\u984D,2018-07-06 14:22:14,2018-07-06 14:22:14,0.182s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u7D50\u675F\u91D1\u984D,2018-07-06 14:22:14,2018-07-06 14:22:14,0.137s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:22:14,2018-07-06 14:22:14,0.154s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:22:14,2018-07-06 14:22:16,2.002s,PASSED
Statement - after = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ThirdPartyPayment/Index_Page/text_Amount)),Chrome 67.0.3396.99,,2018-07-06 14:22:16,2018-07-06 14:22:17,0.550s,PASSED
Statement - afterText = CustomKeywords.extension.DataConversion.CurrencyToInt(after),Chrome 67.0.3396.99,\u8F49\u63DB\u67E5\u8A62\u7D50\u679C\u7B2C\u4E00\u7B46\u9918\u984D\u6263\u9664$\u5B57\u5143,2018-07-06 14:22:17,2018-07-06 14:22:17,0.003s,PASSED
verifyGreaterThanOrEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u7D50\u679C\u662F\u5426\u5927\u65BC\u8F38\u5165\u76841,2018-07-06 14:22:17,2018-07-06 14:22:17,0.001s,PASSED
verifyLessThanOrEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u7D50\u679C\u662F\u5426\u5C0F\u65BC\u8F38\u5165\u76843,2018-07-06 14:22:17,2018-07-06 14:22:17,0.006s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:22:17,2018-07-06 14:22:17,0.645s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin06,Chrome 67.0.3396.99,,2018-07-06 14:22:17,2018-07-06 14:22:28,10.834s,ERROR
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:22:17,2018-07-06 14:22:22,4.329s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:22:22,2018-07-06 14:22:25,3.570s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:22:25,2018-07-06 14:22:26,0.251s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:22:26,2018-07-06 14:22:26,0.732s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_ThirdPartyAccount)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u300C\u5546\u6236\u300D,2018-07-06 14:22:26,2018-07-06 14:22:28,1.178s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB,2018-07-06 14:22:28,2018-07-06 14:22:28,0.041s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u5546\u6236,2018-07-06 14:22:28,2018-07-06 14:22:28,0.002s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:22:28,2018-07-06 14:22:28,0.639s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin07,Chrome 67.0.3396.99,,2018-07-06 14:22:28,2018-07-06 14:22:39,11.003s,ERROR
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:22:28,2018-07-06 14:22:33,4.365s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:22:33,2018-07-06 14:22:37,4.068s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:22:37,2018-07-06 14:22:37,0.234s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:22:37,2018-07-06 14:22:38,0.615s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_Operator)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u300C\u64CD\u4F5C\u4EBA\u54E1\u300D,2018-07-06 14:22:38,2018-07-06 14:22:39,0.953s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB,2018-07-06 14:22:39,2018-07-06 14:22:39,0.055s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u64CD\u4F5C\u4EBA\u54E1,2018-07-06 14:22:39,2018-07-06 14:22:39,0.002s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:22:39,2018-07-06 14:22:39,0.629s,PASSED
